season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender
1,1,1,1975-10-11,George Carlin,/wiki/George_Carlin,Comedian,"Person,Thing",1937-05-12,"Observational comedy,character comedy,surreal comedy,blue comedy,black comedy,wordplay,sarcasm,satire",Male
1,2,2,1975-10-18,Paul Simon,/wiki/Paul_Simon,Musician,"Person,Thing",1941-10-13,"Folk,rock,pop,world",Male
1,3,3,1975-10-25,Rob Reiner,/wiki/Rob_Reiner,Actor,"Person,Thing",1947-03-06,,Male
1,4,4,1975-11-08,Candice Bergen,/wiki/Candice_Bergen,Actress,"Person,Thing",1946-05-09,,Female
1,5,5,1975-11-15,Robert Klein,/wiki/Robert_Klein,Stand-up comedian,"Thing,Person",1942-02-08,"Observational comedy,improvisational comedy,satire,Political satire,musical comedy",Male
1,6,6,1975-11-22,Lily Tomlin,/wiki/Lily_Tomlin,Actress,"Person,Thing",1939-09-01,"Observational comedy,Improvisational comedy",Female
1,7,7,1975-12-13,Richard Pryor,/wiki/Richard_Pryor,Stand-up comedian,"Thing,Person",1940-12-01,"Political satire,Observational comedy,Black comedy,Improvisational comedy,character comedy",Male
1,8,8,1975-12-20,Candice Bergen,/wiki/Candice_Bergen,Actress,"Person,Thing",1946-05-09,,Female
1,9,9,1976-01-10,Elliott Gould,/wiki/Elliott_Gould,Actor,"Person,Thing",1938-08-29,,Male
1,10,10,1976-01-17,Buck Henry,/wiki/Buck_Henry,Actor,"Person,Thing",1930-12-09,,Male
1,11,11,1976-01-24,Peter Cook,/wiki/Peter_Cook,Actor,"Thing,Person",1937-11-17,,Male
1,11,11,1976-01-24,Dudley Moore,/wiki/Dudley_Moore,Actor,"Person,Thing",1935-04-19,,Male
1,12,12,1976-01-31,Dick Cavett,/wiki/Dick_Cavett,Television personality,"Person,Thing",1936-11-19,,Male
1,13,13,1976-02-14,Peter Boyle,/wiki/Peter_Boyle,Character actor,"Person,Thing",1935-10-18,,Male
1,14,14,1976-02-21,Desi Arnaz,/wiki/Desi_Arnaz,Musician,"Thing,Person",1917-03-02,,Male
1,15,15,1976-02-28,Jill Clayburgh,/wiki/Jill_Clayburgh,Actress,"Thing,Person",1944-04-30,,Female
1,16,16,1976-03-13,Anthony Perkins,/wiki/Anthony_Perkins,Actor,"Person,Thing",1932-04-04,,Male
1,17,17,1976-04-17,Ron Nessen,/wiki/Ron_Nessen,Former White House Press Secretary,"Thing,Person",1934-05-25,,Male
1,18,18,1976-04-24,Raquel Welch,/wiki/Raquel_Welch,Actress,"Thing,Person",1940-09-05,,Female
1,19,19,1976-05-08,Madeline Kahn,/wiki/Madeline_Kahn,Actress,"Thing,Person",1942-09-29,,Female
1,20,20,1976-05-15,Dyan Cannon,/wiki/Dyan_Cannon,Film actress,"Person,Thing",1937-01-04,,Female
1,21,21,1976-05-22,Buck Henry,/wiki/Buck_Henry,Actor,"Person,Thing",1930-12-09,,Male
1,22,22,1976-05-29,Elliott Gould,/wiki/Elliott_Gould,Actor,"Person,Thing",1938-08-29,,Male
1,23,23,1976-07-24,Louise Lasser,/wiki/Louise_Lasser,Actress,"Person,Thing",1939-04-11,,Female
