season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender
1,1,1,1975-10-11,Billy Preston,/wiki/Billy_Preston,Musician,"Thing,Person",1946-09-02,"R&B,rock,soul,funk,gospel",Male
1,1,1,1975-10-11,Janis Ian,/wiki/Janis_Ian,Singer-songwriter,"Person,Thing",1951-04-07,Folk,Female
1,2,2,1975-10-18,Randy Newman,/wiki/Randy_Newman,Singer-songwriter,"Thing,Person",1943-11-28,"Rock,pop",Male
1,2,2,1975-10-18,Phoebe Snow,/wiki/Phoebe_Snow_(singer),Singer-songwriter,"Thing,Person",1950-07-17,"Folk,blues,gospel,jazz,pop,rock,rock and roll,soft rock,soul,adult contemporary",Female
1,2,2,1975-10-18,Art Garfunkel,/wiki/Art_Garfunkel,Singer,"Thing,Person",1941-11-05,"Folk,rock,pop",Male
1,2,2,1975-10-18,Jessy Dixon Singers,/wiki/Jessy_Dixon_Singers,Singer-songwriter,"Person,Thing",1938-03-12,"Gospel,Christian,R&B",Male
1,4,4,1975-11-08,Esther Phillips,/wiki/Esther_Phillips,Singer,"Thing,Person",1935-12-23,"R&B,blues,pop,country,jazz,soul",Female
1,5,5,1975-11-15,ABBA,/wiki/ABBA,Pop group,"MusicGroup,Thing",,"Pop,europop,disco,pop rock",
1,5,5,1975-11-15,Loudon Wainwright III,/wiki/Loudon_Wainwright_III,Songwriter,"Person,Thing",1946-09-05,"Folk,rock,blues,comedy",Male
1,6,6,1975-11-22,Howard Shore & the All Nurse Band,/wiki/Howard_Shore,Composer,"Person,Thing",1946-10-18,,Male
1,7,7,1975-12-13,Gil Scott-Heron,/wiki/Gil_Scott-Heron,Poet,"Thing,Person",1949-04-01,"Soul,jazz poetry,jazz,blues,jazz-funk,proto-rap",Male
1,8,8,1975-12-20,Martha Reeves,/wiki/Martha_Reeves,Vocal group,"MusicGroup,Thing",1941-07-18,"Pop,R&B,rock and roll,soul",
1,8,8,1975-12-20,The Stylistics,/wiki/The_Stylistics,Musical Group,"Thing,MusicGroup",,"R&B,soul",
1,9,9,1976-01-10,Anne Murray,/wiki/Anne_Murray,Singer,"Person,Thing",1945-06-20,"Country,pop,adult contemporary,soft rock",Female
1,10,10,1976-01-17,Bill Withers,/wiki/Bill_Withers,Singer-songwriter,"Person,Thing",1938-07-04,"Soul,R&B,smooth soul,blues,funk",Male
1,10,10,1976-01-17,Toni Basil,/wiki/Toni_Basil,Singer,"Person,Thing",1943-09-22,"Pop,new wave",Female
1,11,11,1976-01-24,Neil Sedaka,/wiki/Neil_Sedaka,Singer,"Person,Thing",1939-03-13,"Pop,Brill Building",Male
1,12,12,1976-01-31,Jimmy Cliff,/wiki/Jimmy_Cliff,Musician,"Person,Thing",1948-04-01,"Ska,reggae",Male
1,13,13,1976-02-14,Al Jarreau,/wiki/Al_Jarreau,Singer,"Thing,Person",1940-03-12,"Jazz,R&B,Soul",Male
1,14,14,1976-02-21,Desi Arnaz,/wiki/Desi_Arnaz,Musician,"Person,Thing",1917-03-02,,Male
1,14,14,1976-02-21,"Desi Arnaz, Jr.","/wiki/Desi_Arnaz,_Jr.",Actor,"Person,Thing",1953-01-19,,Male
1,15,15,1976-02-28,Leon Redbone,/wiki/Leon_Redbone,Singer,"Person,Thing",1949-08-26,"Vaudevillian,ragtime,jazz,blues",Male
1,15,15,1976-02-28,The Idlers,/wiki/The_Idlers,Musical ensemble,"Thing,MusicGroup",,,
1,16,16,1976-03-13,Betty Carter,/wiki/Betty_Carter,Singer,"Person,Thing",1929-05-16,"Jazz,post-bop",Female
1,17,17,1976-04-17,Patti Smith,/wiki/Patti_Smith,Singer-songwriter,"Thing,Person",1946-12-30,"Punk rock,art punk,proto-punk,art rock",Female
1,18,18,1976-04-24,Phoebe Snow,/wiki/Phoebe_Snow_(singer),Singer-songwriter,"Thing,Person",1950-07-17,"Folk,blues,gospel,jazz,pop,rock,rock and roll,soft rock,soul,adult contemporary",Female
1,18,18,1976-04-24,John Sebastian,/wiki/John_Sebastian,Singer-songwriter,"Person,Thing",1944-03-17,"folk,blues",Male
1,19,19,1976-05-08,Carly Simon,/wiki/Carly_Simon,Singer-songwriter,"Person,Thing",1945-06-25,"Pop rock,soft rock,folk",Female
1,20,20,1976-05-15,Leon and Mary Russell,/wiki/Leon_and_Mary_Russell,Musician,"Person,Thing",1942-04-02,"Country,rock,folk,rhythm and blues,folk rock,blues rock",Male
1,21,21,1976-05-22,Gordon Lightfoot,/wiki/Gordon_Lightfoot,Singer-songwriter,"Thing,Person",1938-11-17,"Folk,folk rock,country",Male
1,21,21,1976-05-22,Garrett Morris,/wiki/Garrett_Morris,Comedian,"Person,Thing",1937-02-01,,Male
1,22,22,1976-05-29,Leon Redbone,/wiki/Leon_Redbone,Singer,"Person,Thing",1949-08-26,"Vaudevillian,ragtime,jazz,blues",Male
1,22,22,1976-05-29,Harlan Collins,/wiki/Harlan_Collins,Composer,"Person,Thing",,,Male
1,23,23,1976-07-24,Preservation Hall Jazz Band,/wiki/Preservation_Hall_Jazz_Band,Band,"Thing,MusicGroup",,Jazz,
1,24,24,1976-07-31,Rita Coolidge,/wiki/Rita_Coolidge,Songwriter,"Thing,Person",1945-05-01,"Pop,adult contemporary,country,Native American,soft rock",Female
2,1,25,1976-09-18,James Taylor,/wiki/James_Taylor,Singer-songwriter,"Person,Thing",1948-03-12,"Folk rock,rock,pop,soft rock,blues,country",Male
2,2,26,1976-09-25,Boz Scaggs,/wiki/Boz_Scaggs,Singer,"Person,Thing",1944-06-08,"Blue-eyed soul,rock,blues rock,soft rock,jazz rock",Male
2,3,27,1976-10-02,Joe Cocker,/wiki/Joe_Cocker,Singer,"Person,Thing",1944-05-20,"Rock,blues,soul,pop",Male
2,3,27,1976-10-02,Stuff,/wiki/Stuff_(band),Video game,"VideoGame,Thing",,Jazz-funk,
2,4,28,1976-10-16,John Prine,/wiki/John_Prine,Singer-songwriter,"Person,Thing",1946-10-10,"Country,Folk,Progressive bluegrass,Americana",Male
2,5,29,1976-10-23,Kinky Friedman,/wiki/Kinky_Friedman,Singer,"Thing,Person",1944-11-01,,Male
2,6,30,1976-10-30,The Band,/wiki/The_Band,Rock band,"MusicGroup,Thing",1968,"Roots rock,Americana,folk rock,country rock",
2,7,31,1976-11-13,Ry Cooder,/wiki/Ry_Cooder,Musician,"Thing,Person",1947-03-15,"Americana,roots rock,folk,blues,Tex-Mex,country,gospel,world music",Male
2,8,32,1976-11-20,George Harrison,/wiki/George_Harrison,Guitarist,"Thing,Person",1943-02-25,"Rock,pop,Indian classical,experimental",Male
2,9,33,1976-11-27,Brian Wilson,/wiki/Brian_Wilson,Musician,"Person,Thing",1942-06-20,"Rock,pop,art rock,avant-pop,outsider",Male
2,10,34,1976-12-11,Frank Zappa,/wiki/Frank_Zappa,Musician,"Person,Thing",1940-12-21,"Rock,experimental,jazz,classical,pop,avant-garde",Male
2,10,34,1976-12-11,Don Pardo,/wiki/Don_Pardo,Announcer,"Thing,Person",1918-02-22,,Male
2,11,35,1977-01-15,George Benson,/wiki/George_Benson,Musician,"Person,Thing",1943-03-22,"Jazz,R&B,Soul,Funk",Male
2,12,36,1977-01-22,Chuck Berry,/wiki/Chuck_Berry,Guitarist,"Thing,Person",1926-10-18,Rock and roll,Male
2,13,37,1977-01-29,Leo Sayer,/wiki/Leo_Sayer,Singer-songwriter,"Thing,Person",1948-05-21,"Soft rock,disco",Male
2,14,38,1977-02-26,The Kinks,/wiki/The_Kinks,Rock band,"MusicGroup,Thing",,"Rock,pop",
2,15,39,1977-03-12,Richard Baskin,/wiki/Richard_Baskin,Film composer,"Thing,Person",1948-12-01,,Male
2,16,40,1977-03-19,Levon Helm,/wiki/Levon_Helm,Musician,"Person,Thing",1940-05-26,"Rock,Americana",Male
2,16,40,1977-03-19,Dr. John,/wiki/Dr._John,Singer-songwriter,"Thing,Person",1940-11-21,"Jazz,blues,rock,boogie woogie,zydeco",Male
2,16,40,1977-03-19,The Meters,/wiki/The_Meters,Band,"MusicGroup,Thing",,"New Orleans R&B,funk",
2,17,41,1977-03-26,Santana,/wiki/Santana_(band),Rock band,"MusicGroup,Thing",,"Latin rock,blues rock,psychedelic rock,acid rock,Chicano rock",
2,18,42,1977-04-09,Tom Waits,/wiki/Tom_Waits,Singer-songwriter,"Person,Thing",1949-12-07,"Rock,experimental",Male
2,18,42,1977-04-09,Brick,/wiki/Brick_(band),Retail company,"Corporation,Organization,Thing",,"Funk,R&B,disco",
2,19,43,1977-04-16,McGarrigle Sisters,/wiki/Kate_and_Anna_McGarrigle,Singer,Thing,,Folk rock,
2,19,43,1977-04-16,Roslyn Kind,/wiki/Roslyn_Kind,Actress,"Person,Thing",1951-01-09,,Female
2,20,44,1977-04-23,Alan Price,/wiki/Alan_Price,Musician,"Thing,Person",1942-04-19,"Rock,blues rock,psychedelic rock,pop",Male
2,20,44,1977-04-23,Neil Innes,/wiki/Neil_Innes,Writer,"Person,Thing",1944-12-09,"Parody,comedy rock",Male
2,21,45,1977-05-14,Joan Armatrading,/wiki/Joan_Armatrading,Singer-songwriter,"Person,Thing",1950-12-09,"Rock,pop,folk rock,blues",Female
2,22,46,1977-05-21,Jennifer Warnes,/wiki/Jennifer_Warnes,Singer,"Thing,Person",1947-03-03,"Country rock,pop",Female
2,22,46,1977-05-21,Kenny Vance,/wiki/Kenny_Vance,Singer,"Person,Thing",,,Male
3,1,47,1977-09-24,Jackson Browne,/wiki/Jackson_Browne,Singer-songwriter,"Thing,Person",1948-10-09,"Rock,folk,country rock,soft rock",Male
3,2,48,1977-10-08,Taj Mahal,/wiki/Taj_Mahal_(musician),Mausoleum,"CivicStructure,Thing,Place,LandmarksOrHistoricalBuildings,Cemetery,TouristAttraction",1942-05-17,"Blues,blues rock,R&B,reggae,jazz,country blues,world music",
3,3,49,1977-10-15,Libby Titus,/wiki/Libby_Titus,Singer,"Thing,Person",,,Female
3,4,50,1977-10-29,Paul Simon,/wiki/Paul_Simon,Musician,"Person,Thing",1941-10-13,"Folk,rock,pop,world",Male
3,5,51,1977-11-12,Ray Charles,/wiki/Ray_Charles,Singer-songwriter,"Thing,Person",1930-09-23,"R&B,soul,blues,gospel,country,jazz,pop,rock and roll",Male
3,6,52,1977-11-19,Leon Redbone,/wiki/Leon_Redbone,Singer,"Person,Thing",1949-08-26,"Vaudevillian,ragtime,jazz,blues",Male
3,7,53,1977-12-10,Willie Nelson,/wiki/Willie_Nelson,Musician,"Thing,Person",1933-04-29,"Country,outlaw country,rock",Male
3,8,54,1977-12-17,Elvis Costello,/wiki/Elvis_Costello,Musician,"Person,Thing",1954-08-25,"New wave,punk rock,pub rock",Male
3,9,55,1978-01-21,Randy Newman,/wiki/Randy_Newman,Singer-songwriter,"Thing,Person",1943-11-28,"Rock,pop",Male
3,9,55,1978-01-21,The Nitty Gritty Dirt Band,/wiki/The_Nitty_Gritty_Dirt_Band,Rock band,"Thing,MusicGroup",,"Folk,country,folk rock,bluegrass",
3,10,56,1978-01-28,Bonnie Raitt,/wiki/Bonnie_Raitt,Singer-songwriter,"Thing,Person",1949-11-08,"Blues,blue-eyed soul,blues rock,roots rock,Americana",Female
3,11,57,1978-02-18,Billy Joel,/wiki/Billy_Joel,Singer-songwriter,"Thing,Person",1949-05-09,"Rock,soft rock,piano rock,pop",Male
3,12,58,1978-02-25,Ashford and Simpson,/wiki/Ashford_and_Simpson,Songwriter,"Thing,MusicGroup",,"R&B,soul,funk,disco,gospel",
3,13,59,1978-03-11,Stephen Bishop,/wiki/Stephen_Bishop_(musician),Singer-songwriter,"Thing,Person",1951-11-14,"Blues rock,pop rock,soft rock",Male
3,14,60,1978-03-18,Eddie Money,/wiki/Eddie_Money,Singer-songwriter,"Thing,Person",1949-03-21,"Rock,pop rock,hard rock",Male
