season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender,category
1,1,1,1975-10-11,Billy Preston,/wiki/Billy_Preston,Musician,Person,1946-09-02,"r&b,rock,soul,funk,gospel",Male,r&b
1,1,1,1975-10-11,Janis Ian,/wiki/Janis_Ian,Singer-songwriter,Person,1951-04-07,folk,Female,folk
1,2,2,1975-10-18,Randy Newman,/wiki/Randy_Newman,Singer-songwriter,Person,1943-11-28,"rock,pop",Male,
1,2,2,1975-10-18,Phoebe Snow,/wiki/Phoebe_Snow_(singer),Singer-songwriter,Person,1950-07-17,"blues,country blues,jazz blues,folk,gospel,jazz,r&b,rock,rock and roll,soul",Female,r&b
1,2,2,1975-10-18,Art Garfunkel,/wiki/Art_Garfunkel,Singer,Person,1941-11-05,"folk,rock,pop",Male,folk
1,2,2,1975-10-18,Jessy Dixon Singers,/wiki/Jessy_Dixon_Singers,Singer-songwriter,Person,1938-03-12,"gospel,christian,r&b",Male,r&b
1,4,4,1975-11-08,Esther Phillips,/wiki/Esther_Phillips,Singer,Person,1935-12-23,"r&b,blues,pop,country,jazz,soul",Female,r&b
1,5,5,1975-11-15,ABBA,/wiki/ABBA,Musical Group,MusicGroup,,"pop,europop,disco,pop rock",,pop rock
1,5,5,1975-11-15,Loudon Wainwright III,/wiki/Loudon_Wainwright_III,Songwriter,Person,1946-09-05,"folk,rock,blues,comedy",Male,blues
1,6,6,1975-11-22,Howard Shore & the All Nurse Band,/wiki/Howard_Shore,Composer,Person,1946-10-18,"classical,orchestral,film scores",Male,classical
1,7,7,1975-12-13,Gil Scott-Heron,/wiki/Gil_Scott-Heron,Poet,Person,1949-04-01,"soul,jazz poetry,jazz,blues,jazz-funk,proto-rap",Male,soul
1,8,8,1975-12-20,Martha Reeves,/wiki/Martha_Reeves,R&B group,MusicGroup,1941-07-18,"pop,r&b,rock and roll,soul",,r&b
1,8,8,1975-12-20,The Stylistics,/wiki/The_Stylistics,R&B group,MusicGroup,,"philadelphia soul,r&b",,r&b
